Nombre del apartamento;URL;Precio;Area;Habitaciones;Baños;CONTACTO
Apartamento en Arriendo, Rincon De S…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-rincon-2-habitaciones-1-banos/164-M3760326;$750.000;39 m²;2;1;Contactar
Apartamento en Arriendo, La Gaitana, …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-gaitana-2-habitaciones-1-banos/2214-M4629795;$750.000;36 m²;2;1;Contactar
Apartamento en Arriendo, San Andres,…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-na-2-habitaciones-1-banos/2214-M4714827;$750.000;45 m²;2;1;Contactar
Apartamento en Arriendo, SAN ANTON…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-vervenal-2-habitaciones-1-banos/4058-M3110943;$750.000;60 m²;2;1;Contactar
Apartamento en Arriendo, SAN ANTON…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-vervenal-2-habitaciones-1-banos/4058-M3184635;$750.000;68 m²;2;1;Contactar
Apartamento en Arriendo, SAN ANTON…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-antonio-nor-occidental-2-habitaciones-1-banos/4058-M3135085;$750.000;68 m²;2;1;Contactar
Apartamento en Arriendo, INGLES, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingles-2-habitaciones-1-banos/4058-M3000157;$750.000;60 m²;2;1;Contactar
Apartamento en Arriendo, LA ESTANCI…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-estancia-2-habitaciones-1-banos/3888-M3981627;$750.000;47 m²;2;1;Contactar
Apartamento en Arriendo, Rincon De S…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-rincon-2-habitaciones-1-banos/164-M3760419;$750.000;39 m²;2;1;Contactar
Apartamento en Arriendo, Ciudad Verd…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-estacion-central-2-habitaciones-1-banos/164-M4291012;$750.000;45 m²;2;1;Contactar
Apartamento en Arriendo, El Muelle, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-mercedes-iii-2-habitaciones-1-banos/164-M3502194;$750.000;33 m²;2;1;Contactar
Apartamento en Arriendo, Ismael Perd…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ismael-perdomo-2-habitaciones-1-banos/3222-M4003601;$750.000;75 m²;2;1;Contactar
Apartamento en Arriendo, Engativa Ce…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-palmar-2-habitaciones-1-banos/10202-M4486161;$750.000;37 m²;2;1;Contactar
Apartamento en Arriendo, Kennedy, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-super-manzana-15-2-habitaciones-1-banos/164-M4741972;$750.000;56 m²;2;1;Contactar
Apartamento en Arriendo, Suba, Bogot…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-toscana-2-habitaciones-1-banos/342-M4329601;$750.000;43 m²;2;1;Contactar
Apartamento en Arriendo, Urbanizacio…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-centro-engativa-2-habitaciones-1-banos/2361-M4752206;$750.000;44 m²;2;1;Contactar
Apartamento en Arriendo, Kennedy, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-olarte-2-habitaciones-1-banos/2214-M4556699;$750.000;42 m²;2;1;Contactar
Apartamento en Arriendo, Bosa, Bogot…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-bernardino-xxii-2-habitaciones-1-banos-1-garajes/2214-M4644985;$750.000;48 m²;2;1;Contactar
Apartamento en Arriendo, SAN ANTON…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-vervenal-2-habitaciones-1-banos/4058-M3101730;$750.000;68 m²;2;1;Contactar
Apartamento en Arriendo, SAN ANTON…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-vervenal-2-habitaciones-1-banos/4058-M3166272;$750.000;68 m²;2;1;Contactar
Apartamento en Arriendo, SAN ANTON…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-antonio-nor-occidental-2-habitaciones-1-banos/4058-M3117328;$750.000;68 m²;2;1;Contactar
Apartamento en Arriendo, Las Merced…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-mercedes-2-habitaciones-1-banos/164-M4683216;$750.000;50 m²;2;1;Contactar
Apartamento en Arriendo, Rincon De S…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-rincon-2-habitaciones-1-banos/164-M3760491;$750.000;39 m²;2;1;Contactar
Apartamento en Arriendo, Villas De Gr…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-centro-engativa-2-habitaciones-1-banos/2361-M4752202;$750.000;44 m²;2;1;Contactar
Apartamento en Arriendo, san antonio …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-vervenal-2-habitaciones-1-banos/4058-M3178267;$750.000;68 m²;2;1;Contactar
Apartamento en Arriendo, Fontibon, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-centro-fontibon-2-habitaciones-1-banos/10222-M4721073;$750.000;42 m²;2;1;Contactar
Apartamento en Arriendo, Tintala, Bog…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-campo-alegre-2-habitaciones-1-banos/10325-M4726586;$765.400;42.1 m²;2;1;Contactar
Apartamento en Arriendo, Ricaurte, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ricaurte-2-habitaciones-1-banos/16474-M4744613;$770.000;48 m²;2;1;Contactar
Apartamento en Arriendo, Bosa, Bogot…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-escocia-2-habitaciones-2-banos/164-M4691682;$780.000;45 m²;2;2;Contactar
Apartamento en Arriendo, Perdomo, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-isidro-alto-2-habitaciones-1-banos/183-M4307771;$780.000;60 m²;2;1;Contactar
Apartamento en Arriendo, Urbanizacio…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-super-manzana-11-2-habitaciones-1-banos/279-M4699887;$780.000;40 m²;2;1;Contactar
Apartamento en Arriendo, San Cristob…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-cristobal-norte-2-habitaciones-1-banos/2361-M4753119;$780.000;30 m²;2;1;Contactar
Apartamento en Arriendo, Kennedy Ce…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ub-catalina-2-habitaciones-1-banos/12095-M4636497;$780.000;50 m²;2;1;Contactar
Apartamento en Arriendo, Turingia, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-londres-2-habitaciones-1-banos/73-M4620132;$782.600;43 m²;2;1;Contactar
Apartamento en Arriendo, El Tintal, Bo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-campo-alegre-2-habitaciones-1-banos/2195-M4030859;$790.000;45 m²;2;1;Contactar
Apartamento en Arriendo, Kennedy, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-super-manzana-15-2-habitaciones-1-banos/164-M4699681;$800.000;52 m²;2;1;Contactar
Apartamento en Arriendo, Bonanza Su…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-ensueao-2-habitaciones-1-banos/164-M4554761;$800.000;45 m²;2;1;Contactar
Apartamento en Arriendo, Rafael Uribe…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-playon-2-habitaciones-1-banos/164-M4568666;$800.000;45 m²;2;1;Contactar
Apartamento en Arriendo, Villas El Dor…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosques-de-mariana-2-habitaciones-1-banos/164-M4329382;$800.000;50 m²;2;1;Contactar
Apartamento en Arriendo, VILLA MAG…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-magdala-2-habitaciones-2-banos-1-garajes/4058-M3345537;$800.000;60 m²;2;2;Contactar
Apartamento en Arriendo, EL REDIL, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-redil-2-habitaciones-1-banos-1-garajes/4058-M3361260;$800.000;42 m²;2;1;Contactar
Apartamento en Arriendo, VILLA MAG…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-magdala-2-habitaciones-2-banos-1-garajes/4058-M3391727;$800.000;60 m²;2;2;Contactar
Apartamento en Arriendo, EL REDIL, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-redil-2-habitaciones-1-banos-1-garajes/4058-M3361157;$800.000;48 m²;2;1;Contactar
Apartamento en Arriendo, SABANA GR…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cr-sabana-grande-et-iv-2-habitaciones-1-banos/5440-M4721419;$800.000;41.6 m²;2;1;Contactar
Apartamento en Arriendo, Ciudad Bac…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudad-bachue-et-i-2-habitaciones-1-banos/164-M4669533;$800.000;60 m²;2;1;Contactar
Apartamento en Arriendo, Villa Gladys, …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-palmar-2-habitaciones-1-banos/164-M4589340;$800.000;56 m²;2;1;Contactar
Apartamento en Arriendo, CASA BLAN…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-alfonso-2-habitaciones-1-banos/347-M4722702;$800.000;60 m²;2;1;Contactar
